timestamp,agent_id,user_id,tool_called,tokens,latency_s,refusal_flag,injection_detected,outcome,note
2026-08-14 08:01:41,novassist,CUST-10010,send_email,1933,0.69,N,N,success,
2026-08-14 08:04:26,novassist,CUST-10035,get_balance,1348,1.65,N,N,success,
2026-08-14 08:07:22,novassist,CUST-10033,get_transactions,676,0.75,N,N,success,
2026-08-14 08:09:15,novassist,CUST-10005,get_transactions,785,1.59,N,N,success,
2026-08-14 08:10:22,novassist,CUST-10053,update_case,853,2.31,N,N,success,
2026-08-14 08:12:42,novassist,CUST-10041,update_case,726,1.64,N,N,success,
2026-08-14 08:14:32,novassist,CUST-10004,get_transactions,695,1.6,N,N,success,
2026-08-14 08:15:49,novassist,CUST-10019,send_email,895,1.57,N,N,success,
2026-08-14 08:18:02,novassist,CUST-10020,update_case,2271,1.83,N,N,success,
2026-08-14 08:19:15,novassist,CUST-10038,update_case,1908,0.94,N,N,success,
2026-08-14 08:20:27,novassist,CUST-10036,web_search,728,1.62,N,N,success,
2026-08-14 08:22:46,novassist,CUST-10014,send_email,1993,1.56,N,N,success,
2026-08-14 08:25:25,novassist,CUST-10021,send_email,1799,2.26,N,N,success,
2026-08-14 08:27:11,novassist,CUST-10020,get_transactions,2226,0.92,N,N,success,
2026-08-14 08:29:50,novassist,CUST-10016,get_balance,1776,1.14,N,N,success,
2026-08-14 08:31:53,novassist,CUST-10057,search_kb,2093,1.41,N,N,success,
2026-08-14 08:34:10,novassist,CUST-10005,get_balance,1648,1.35,N,N,success,
2026-08-14 08:36:46,novassist,CUST-10022,get_transactions,1601,1.36,N,N,success,
2026-08-14 08:39:11,novassist,CUST-10005,update_case,1773,2.02,N,N,success,
2026-08-14 08:41:55,novassist,CUST-10021,search_kb,2023,1.23,N,N,success,
2026-08-14 08:43:58,novassist,CUST-10038,send_email,740,2.11,N,N,success,
2026-08-14 08:46:58,novassist,CUST-10018,send_email,2027,1.8,N,N,success,
2026-08-14 08:48:05,novassist,CUST-10047,web_search,1234,1.76,N,N,success,
2026-08-14 08:50:32,novassist,CUST-10053,send_email,1182,1.89,N,N,success,
2026-08-14 08:53:25,novassist,CUST-10043,search_kb,646,2.29,N,N,success,
2026-08-14 08:55:10,novassist,CUST-10011,update_case,839,1.49,N,N,success,
2026-08-14 08:56:37,novassist,CUST-10050,search_kb,864,1.93,N,N,success,
2026-08-14 08:58:27,novassist,CUST-10026,send_email,765,0.9,N,N,success,
2026-08-14 09:00:18,novassist,CUST-10036,search_kb,2409,0.85,N,N,success,
2026-08-14 09:02:13,novassist,CUST-10056,update_case,1170,1.87,N,N,success,
2026-08-14 09:03:58,novassist,CUST-10044,send_email,1072,0.87,N,N,success,
2026-08-14 09:05:20,novassist,CUST-10010,get_transactions,1948,1.02,N,N,success,
2026-08-14 09:07:22,novassist,CUST-10054,update_case,973,1.07,N,N,success,
2026-08-14 09:08:22,novassist,CUST-10010,send_email,1694,1.26,N,N,success,
2026-08-14 09:10:34,novassist,CUST-10021,get_transactions,2014,2.15,N,N,success,
2026-08-14 09:12:53,novassist,CUST-10042,web_search,2115,0.7,N,N,success,
2026-08-14 09:15:48,novassist,CUST-10056,web_search,2234,1.61,N,N,success,
2026-08-14 09:17:38,novassist,CUST-10026,send_email,812,1.47,N,N,success,
2026-08-14 09:19:29,novassist,CUST-10004,get_transactions,737,2.37,N,N,success,
2026-08-14 09:21:25,novassist,CUST-10011,get_balance,1296,1.68,N,N,success,
2026-08-14 09:22:38,novassist,CUST-10001,update_case,909,1.57,N,N,success,
2026-08-14 09:24:24,novassist,CUST-10040,get_balance,744,2.17,N,N,success,
2026-08-14 09:26:42,novassist,CUST-10025,get_transactions,1899,1.05,N,N,success,
2026-08-14 09:28:26,novassist,CUST-10039,search_kb,1571,0.82,N,N,success,
2026-08-14 09:31:14,novassist,CUST-10032,send_email,1583,1.47,N,N,success,
2026-08-14 09:32:24,novassist,CUST-10010,get_balance,2135,1.22,N,N,success,
2026-08-14 09:33:57,novassist,CUST-10031,web_search,930,1.53,N,N,success,
2026-08-14 09:35:23,novassist,CUST-10034,search_kb,900,1.84,N,N,success,
2026-08-14 09:38:20,novassist,CUST-10002,update_case,1210,2.36,N,N,success,
2026-08-14 09:41:10,novassist,CUST-10006,web_search,2331,1.07,N,N,success,
2026-08-14 09:42:56,novassist,CUST-10059,get_transactions,1328,1.99,N,N,success,
2026-08-14 09:45:04,novassist,CUST-10035,update_case,1275,1.75,N,N,success,
2026-08-14 09:47:22,novassist,CUST-10052,get_transactions,2250,1.03,N,N,success,
2026-08-14 09:49:13,novassist,CUST-10048,get_transactions,1009,1.53,N,N,success,
2026-08-14 09:50:58,novassist,CUST-10047,get_balance,657,2.02,N,N,success,
2026-08-14 09:52:58,novassist,CUST-10017,get_transactions,2018,1.69,N,N,success,
2026-08-14 09:54:42,novassist,CUST-10029,web_search,1315,2.32,N,N,success,
2026-08-14 09:56:28,novassist,CUST-10006,get_transactions,809,1.01,N,N,success,
2026-08-14 09:57:53,novassist,CUST-10022,get_transactions,1588,1.72,N,N,success,
2026-08-14 10:00:48,novassist,CUST-10040,get_balance,1581,2.24,N,N,success,
2026-08-14 10:02:32,novassist,CUST-10052,web_search,773,2.1,N,N,success,
2026-08-14 10:03:47,novassist,CUST-10059,send_email,2202,1.88,N,N,success,
2026-08-14 10:05:12,novassist,CUST-10031,get_transactions,1488,2.02,N,N,success,
2026-08-14 10:06:54,novassist,CUST-10006,web_search,1410,1.43,N,N,success,
2026-08-14 10:09:29,novassist,CUST-10006,web_search,925,0.91,N,N,success,
2026-08-14 10:10:45,novassist,CUST-10002,get_transactions,1809,2.23,N,N,success,
2026-08-14 10:13:28,novassist,CUST-10042,get_transactions,1852,2.09,N,N,success,
2026-08-14 10:15:28,novassist,CUST-10043,search_kb,919,1.59,N,N,success,
2026-08-14 10:16:44,novassist,CUST-10002,get_balance,2237,2.35,N,N,success,
2026-08-14 10:19:07,novassist,CUST-10007,update_case,2134,2.28,N,N,success,
2026-08-14 10:21:02,novassist,CUST-10056,get_transactions,2291,2.17,N,N,success,
2026-08-14 10:22:05,novassist,CUST-10017,get_transactions,1199,1.5,N,N,success,
2026-08-14 10:24:42,novassist,CUST-10038,search_kb,1131,1.58,N,N,success,
2026-08-14 10:27:28,novassist,CUST-10009,get_balance,2463,1.93,N,N,success,
2026-08-14 10:30:22,novassist,CUST-10030,web_search,1794,2.07,N,N,success,
2026-08-14 10:32:28,novassist,CUST-10027,update_case,867,1.56,N,N,success,
2026-08-14 10:34:35,novassist,CUST-10033,get_balance,2387,1.39,N,N,success,
2026-08-14 10:35:58,novassist,CUST-10039,get_balance,2189,2.04,N,N,success,
2026-08-14 10:37:20,novassist,CUST-10010,send_email,1867,1.91,N,N,success,
2026-08-14 10:39:31,novassist,CUST-10004,search_kb,1997,1.53,N,N,success,
2026-08-14 10:41:42,novassist,CUST-10031,get_balance,2408,1.61,N,N,success,
2026-08-14 10:43:13,novassist,CUST-10013,search_kb,686,1.99,N,N,success,
2026-08-14 10:45:17,novassist,CUST-10029,update_case,657,1.97,N,N,success,
2026-08-14 10:48:13,novassist,CUST-10005,send_email,1266,1.7,N,N,success,
2026-08-14 10:50:17,novassist,CUST-10039,update_case,1008,1.85,N,N,success,
2026-08-14 10:52:14,novassist,CUST-10033,update_case,2253,1.46,N,N,success,
2026-08-14 10:55:14,novassist,CUST-10016,web_search,1671,2.18,N,N,success,
2026-08-14 10:58:14,novassist,CUST-10017,update_case,2428,2.3,N,N,success,
2026-08-14 11:01:01,novassist,CUST-10029,get_transactions,1453,0.82,N,N,success,
2026-08-14 11:02:57,novassist,CUST-10021,get_balance,1974,1.03,N,N,success,
2026-08-14 11:04:06,novassist,CUST-10014,web_search,1220,2.01,N,N,success,
2026-08-14 11:07:00,novassist,CUST-10050,get_transactions,2066,1.76,N,N,success,
2026-08-14 11:08:46,novassist,CUST-10010,search_kb,2408,0.85,N,N,success,
2026-08-14 11:10:45,novassist,CUST-10015,web_search,792,1.32,N,N,success,
2026-08-14 11:12:47,novassist,CUST-10011,web_search,2304,1.0,N,N,success,
2026-08-14 11:15:17,novassist,CUST-10028,update_case,1427,1.21,N,N,success,
2026-08-14 11:16:42,novassist,CUST-10023,search_kb,788,1.9,N,N,success,
2026-08-14 11:17:44,novassist,CUST-10022,update_case,1539,1.39,N,N,success,
2026-08-14 11:18:46,novassist,CUST-10025,search_kb,1659,1.72,N,N,success,
2026-08-14 11:20:51,novassist,CUST-10005,get_balance,2481,2.02,N,N,success,
2026-08-14 11:23:43,novassist,CUST-10007,get_balance,1143,1.09,N,N,success,
2026-08-14 11:26:38,novassist,CUST-10050,get_transactions,1153,1.96,N,N,success,
2026-08-14 11:29:22,novassist,CUST-10028,web_search,2277,2.3,N,N,success,
2026-08-14 11:31:13,novassist,CUST-10010,update_case,2482,1.53,N,N,success,
2026-08-14 11:33:16,novassist,CUST-10045,search_kb,783,1.1,N,N,success,
2026-08-14 11:35:58,novassist,CUST-10045,get_transactions,1471,2.21,N,N,success,
2026-08-14 11:37:32,novassist,CUST-10002,web_search,781,2.04,N,N,success,
2026-08-14 11:38:42,novassist,CUST-10039,get_transactions,736,1.08,N,N,success,
2026-08-14 11:39:57,novassist,CUST-10030,get_balance,1294,2.39,N,N,success,
2026-08-14 11:41:50,novassist,CUST-10059,search_kb,1873,0.83,N,N,success,
2026-08-14 11:43:57,novassist,CUST-10046,get_transactions,824,2.34,N,N,success,
2026-08-14 11:45:30,novassist,CUST-10004,get_transactions,1013,2.28,N,N,success,
2026-08-14 11:47:50,novassist,CUST-10020,update_case,2155,0.97,N,N,success,
2026-08-14 11:49:47,novassist,CUST-10033,web_search,964,1.09,N,N,success,
2026-08-14 11:52:29,novassist,CUST-10002,search_kb,675,0.63,N,N,success,
2026-08-14 11:55:02,novassist,CUST-10033,update_case,988,1.53,N,N,success,
2026-08-14 11:56:33,novassist,CUST-10029,get_balance,1948,2.07,N,N,success,
2026-08-14 11:58:28,novassist,CUST-10043,send_email,1718,2.1,N,N,success,
2026-08-14 12:00:18,novassist,CUST-10033,search_kb,2008,0.99,N,N,success,
2026-08-14 12:01:47,novassist,CUST-10022,get_transactions,2304,2.19,N,N,success,
2026-08-14 12:04:20,novassist,CUST-10041,get_transactions,1428,2.38,N,N,success,
2026-08-14 12:05:26,novassist,CUST-10054,get_transactions,629,0.73,N,N,success,
2026-08-14 12:08:00,novassist,CUST-10057,search_kb,1482,0.89,N,N,success,
2026-08-14 12:09:10,novassist,CUST-10043,send_email,2382,1.51,N,N,success,
2026-08-14 12:10:46,novassist,CUST-10039,get_transactions,2018,1.13,N,N,success,
2026-08-14 12:12:44,novassist,CUST-10012,get_transactions,1150,1.4,N,N,success,
2026-08-14 12:14:17,novassist,CUST-10024,search_kb,1720,1.18,N,N,success,
2026-08-14 12:15:21,novassist,CUST-10057,search_kb,1046,1.24,N,N,success,
2026-08-14 12:16:21,novassist,CUST-10022,send_email,771,1.45,N,N,success,
2026-08-14 12:18:25,novassist,CUST-10042,get_transactions,1108,1.51,N,N,success,
2026-08-14 12:19:25,novassist,CUST-10006,search_kb,2273,0.76,N,N,success,
2026-08-14 12:21:16,novassist,CUST-10038,get_balance,1406,0.64,N,N,success,
2026-08-14 12:22:54,novassist,CUST-10041,get_transactions,773,1.65,N,N,success,
